"source";"target";"purpose"
"P99-1008";"3990";"use"
"P03-1001";"3991";"use"
"P03-1001";"3992";"use"
"J93-2003";"3993";"approach"
"P01-1030";"3994";"present"
"W06-2925";"3995";"use"
"W10-1402";"3996";"use"
"D07-1127";"3997";"use"
"J93-3001";"3998";"method"
"P10-1035";"3999";"use"
"P10-1035";"4000";"report"
"D11-1136";"4001";"report"
"P00-1010";"4002";"present"
"P07-1036";"4003";"present"
"J05-1003";"4004";"approach"
"P02-1062";"4005";"present"
"D07-1117";"4006";"present"
"P99-1008";"4007";"approach"
"N03-1011";"4008";"approach"
"P08-1119";"4009";"approach"
"P98-2182";"4010";"approach"
"D08-1076";"4011";"use"
"P10-1049";"4012";"proposed by"
"P03-1021";"4013";"approach"
"P06-2101";"4014";"approach"
"N04-1035";"4015";"method"
"D11-1125";"4016";"introduce"
"D11-1125";"4017";"introduce"
"N04-1035";"4018";"method"
"J10-2004";"4019";"method"
"P10-1131";"4020";"approach"
"P09-1116";"4021";"present"
"D11-1006";"4022";"proposed by"
"E99-1010";"4023";"proposed by"
"P10-1131";"4024";"approach"
"D10-1120";"4025";"approach"
"D08-1024";"4026";"use"
"W04-1017";"4027";"introduce"
"P09-1053";"4028";"use"
"P09-1116";"4029";"use"
"D11-1095";"4030";"use"
"P08-1086";"4031";"use"
"W09-0210";"4032";"use"
"W11-2130";"4033";"proposed by"
"D11-1125";"4034";"method"
"P10-1015";"4035";"present"
"N01-1026";"4036";"proposed by"
"N10-1013";"4037";"use"
"D08-1094";"4038";"proposed by"
"P08-1028";"4039";"proposed by"
"P10-1097";"4040";"proposed by"
"D08-1029";"4041";"use"
"P11-1059";"4042";"introduce"
"J13-2005";"4043";"present"
"D09-1001";"4044";"present"
"P11-1145";"4045";"present"
"P11-1051";"4046";"proposed by"
"D07-1089";"4047";"present"
"J07-2003";"4048";"use"
"P09-1103";"4049";"present"
"W10-2405";"4050";"use"
"D10-1049";"4051";"present"
"P07-1094";"4052";"method"
"D07-1031";"4053";"method"
"P07-1094";"4054";"method"
"D07-1031";"4055";"method"
"J04-2004";"4056";"approach"
"P06-1085";"4057";"use"
"W00-1702";"4058";"use"
"W00-1702";"4059";"use"
"P99-1020";"4060";"use"
"W00-1702";"4061";"use"
"P99-1020";"4062";"use"
"N04-1033";"4063";"approach"
"J00-2003";"4064";"use"
"E06-1010";"4065";"introduce"
"P05-1033";"4066";"use"
"P06-1121";"4067";"use"
"P06-1027";"4068";"proposed by"
"N06-2018";"4069";"present"
"N06-1037";"4070";"method"
"P06-1104";"4071";"method"
"P04-1054";"4072";"use"
"W02-1010";"4073";"use"
"P04-1054";"4074";"use"
"W02-1010";"4075";"use"
"N06-1037";"4076";"use"
"P05-1052";"4077";"use"
"P05-1053";"4078";"use"
"P06-1104";"4079";"use"
"P05-1052";"4080";"use"
"P05-1053";"4081";"use"
"E06-1050";"4082";"present"
"J08-1001";"4083";"use"
"P95-1026";"4084";"proposed by"
"N06-1038";"4085";"introduce"
"E06-1016";"4086";"present"
"P03-1036";"4087";"present"
"P00-1027";"4088";"present"
"W06-2922";"4089";"present"
"P93-1035";"4090";"method"
"P05-1022";"4091";"method"
"J05-1003";"4092";"method"
"J05-1003";"4093";"method"
"N03-1017";"4094";"proposed by"
"N03-1011";"4095";"approach"
"P04-1018";"4096";"use"
"P02-1047";"4097";"use"
"W04-1106";"4098";"use"
"W04-1106";"4099";"present"
"J98-1001";"4100";"use"
"P03-1021";"4101";"method"
"W00-0708";"4102";"use"
"W06-1642";"4103";"use"
"P05-1017";"4104";"present"
"E06-1026";"4105";"proposed by"
"E06-1026";"4106";"present"
"P88-1015";"4107";"present"
"P03-1014";"4108";"use"
"J03-3002";"4109";"use"
"N06-2023";"4110";"present"
"J98-4003";"4111";"introduce"
"P04-1021";"4112";"present"
"P05-1047";"4113";"present"
"P05-1047";"4114";"use"
"P01-1020";"4115";"report"
"P04-1020";"4116";"use"
"N06-1060";"4117";"proposed by"
"E97-1037";"4118";"use"
"E06-1051";"4119";"present"
"P06-2112";"4120";"use"
"W05-1008";"4121";"report"
"A97-1052";"4122";"report"
"P05-1012";"4123";"approach"
"W04-3201";"4124";"approach"
"E97-1003";"4125";"approach"
"W05-1516";"4126";"approach"
"P06-1127";"4127";"present"
"P06-1127";"4128";"report"
"N07-1020";"4129";"approach"
"P07-1116";"4130";"approach"
"N01-1024";"4131";"approach"
"P08-1088";"4132";"present"
"N07-1001";"4133";"use"
"P08-1088";"4134";"present"
"P02-1053";"4135";"method"
"W08-2006";"4136";"present"
"W06-3110";"4137";"present"
"P08-1059";"4138";"proposed by"
"D08-1068";"4139";"use"
"S07-1044";"4140";"use"
"P07-1019";"4141";"approach"
"P06-1129";"4142";"use"
"J02-3001";"4143";"present"
"P07-1027";"4144";"report"
"W06-1617";"4145";"proposed by"
"P07-1027";"4146";"proposed by"
"W07-1001";"4147";"present"
"W05-0625";"4148";"approach"
"P05-1073";"4149";"approach"
"P07-1038";"4150";"use"
"N06-1059";"4151";"present"
"N06-2046";"4152";"approach"
"P04-1021";"4153";"approach"
"P06-1010";"4154";"present"
"P04-1021";"4155";"approach"
"J00-2003";"4156";"method"
"N06-2033";"4157";"present"
"D07-1090";"4158";"use"
"P08-1058";"4159";"present"
"P08-1086";"4160";"use"
"J12-4004";"4161";"use"
"W06-1626";"4162";"use"
"P05-1071";"4163";"report"
"N07-2014";"4164";"report"
"N06-1020";"4165";"present"
"W03-1023";"4166";"use"
"N06-1022";"4167";"use"
"N07-1051";"4168";"use"
"W08-1207";"4169";"present"
"W08-1207";"4170";"present"
"P06-1066";"4171";"proposed by"
"D07-1056";"4172";"present"
"D07-1082";"4173";"use"
"D08-1035";"4174";"use"
"P08-1095";"4175";"present"
"D08-1109";"4176";"present"
"D08-1018";"4177";"present"
"P02-1040";"4178";"use"
"P07-2027";"4179";"present"
"P03-1022";"4180";"present"
"P07-1092";"4181";"approach"
"D07-1005";"4182";"approach"
"W99-0602";"4183";"approach"
"W08-0402";"4184";"report"
"N07-1063";"4185";"introduce"
"P04-1036";"4186";"present"
"P03-2012";"4187";"proposed by"
"P03-2012";"4188";"proposed by"
"J96-1002";"4189";"introduce"
"P98-1012";"4190";"present"
"N01-1025";"4191";"approach"
"W04-3237";"4192";"use"
"N03-1027";"4193";"use"
"D08-1024";"4194";"introduce"
"P06-1091";"4195";"method"
"J96-4002";"4196";"use"
"P98-1043";"4197";"present"
"J96-4002";"4198";"proposed by"
"A00-2038";"4199";"proposed by"
"P08-1024";"4200";"present"
"N04-1022";"4201";"use"
"P05-1010";"4202";"present"
"P06-1055";"4203";"present"
"P05-1010";"4204";"present"
"P06-1055";"4205";"present"
"P01-1064";"4206";"approach"
"P98-2238";"4207";"introduce"
"P09-1015";"4208";"use"
"D08-1011";"4209";"approach"
"E06-1005";"4210";"approach"
"P08-2021";"4211";"approach"
"P07-1040";"4212";"approach"
"W11-2121";"4213";"approach"
"J03-1002";"4214";"use"
"P03-1021";"4215";"use"
"W12-1503";"4216";"approach"
"P11-2116";"4217";"approach"
"W10-4302";"4218";"method"
"P09-1057";"4219";"use"
"P12-1042";"4220";"present"
"P12-1002";"4221";"present"
"P06-1091";"4222";"use"
"D08-1100";"4223";"use"
"P10-1049";"4224";"method"
"P09-1002";"4225";"report"
"N10-1080";"4226";"report"
"E12-1014";"4227";"use"
"P12-1034";"4228";"present"
"D10-1007";"4229";"proposed by"
"D10-1007";"4230";"use"
"N04-1019";"4231";"method"
"D08-1017";"4232";"proposed by"
"P08-1108";"4233";"use"
"D09-1127";"4234";"present"
"P12-1073";"4235";"present"
"N01-1026";"4236";"present"
"D10-1030";"4237";"present"
"P10-1065";"4238";"present"
"P10-1065";"4239";"present"
"D10-1115";"4240";"present"
"D10-1113";"4241";"present"
"P10-1121";"4242";"present"
"N12-1057";"4243";"proposed by"
"W95-0110";"4244";"introduce"
"N10-1021";"4245";"present"
"N10-1100";"4246";"approach"
"N10-1100";"4247";"approach"
"N10-1145";"4248";"use"
"P11-1051";"4249";"use"
"J02-4005";"4250";"use"
"D09-1075";"4251";"use"
"P11-1090";"4252";"use"
"D09-1075";"4253";"use"
"P11-1090";"4254";"use"
"E06-1051";"4255";"proposed by"
"P05-1053";"4256";"use"
"J02-4004";"4257";"introduce"
"P04-1019";"4258";"proposed by"
"P11-1154";"4259";"present"
"P11-1154";"4260";"proposed by"
"P07-1096";"4261";"report"
"W09-1119";"4262";"use"
"P06-1141";"4263";"introduce"
"W12-4201";"4264";"use"
"P10-1154";"4265";"present"
"D11-1005";"4266";"present"
"P04-1061";"4267";"method"
"D10-1120";"4268";"method"
"D10-1120";"4269";"proposed by"
"W12-1908";"4270";"use"
"P09-1042";"4271";"approach"
"W09-1104";"4272";"approach"
"P10-1131";"4273";"method"
"D10-1120";"4274";"method"
"S12-1042";"4275";"use"
"P08-1077";"4276";"method"
"N06-1060";"4277";"proposed by"
"W08-2102";"4278";"report"
"J03-4003";"4279";"report"
"N07-1051";"4280";"report"
"D12-1042";"4281";"method"
"D08-1009";"4282";"approach"
"D10-1106";"4283";"approach"
"N12-1083";"4284";"present"
"P03-1021";"4285";"method"
"N09-1070";"4286";"use"
"N09-1070";"4287";"proposed by"
"N09-1070";"4288";"report"
"N09-1070";"4289";"proposed by"
"N09-1070";"4290";"proposed by"
"N09-2033";"4291";"report"
"P11-1055";"4292";"approach"
"D12-1042";"4293";"approach"
"P10-1134";"4294";"proposed by"
"D07-1017";"4295";"approach"
"P05-1014";"4296";"approach"
"N03-1003";"4297";"approach"
"P01-1008";"4298";"approach"
"D08-1021";"4299";"approach"
"D10-1113";"4300";"use"
"D12-1049";"4301";"method"
"S12-1047";"4302";"present"
"W01-0511";"4303";"introduce"
"W11-1607";"4304";"present"
"P05-1038";"4305";"use"
"E97-1003";"4306";"present"
"N09-2028";"4307";"present"
"P04-1005";"4308";"present"
"N06-1022";"4309";"present"
"D11-1018";"4310";"approach"
"D12-1077";"4311";"approach"
"D09-1105";"4312";"approach"
"D11-1045";"4313";"approach"
"N03-1003";"4314";"use"
"J01-2001";"4315";"method"
"J01-2001";"4316";"method"
"N09-1024";"4317";"method"
"D10-1062";"4318";"report"
"D10-1062";"4319";"report"
"N06-1024";"4320";"report"
"W09-2010";"4321";"use"
"D11-1141";"4322";"report"
"D08-1089";"4323";"present"
"W12-2108";"4324";"method"
"W11-2123";"4325";"use"
"D10-1044";"4326";"use"
"E12-1055";"4327";"use"
"W12-2108";"4328";"use"
"D11-1120";"4329";"use"
"W12-2108";"4330";"use"
"D11-1120";"4331";"use"
"P08-1023";"4332";"approach"
"D07-1078";"4333";"approach"
"D14-1131";"4334";"use"
"P05-1033";"4335";"use"
"D14-1131";"4336";"use"
"P05-1033";"4337";"use"
"W07-0103";"4338";"use"
"N04-1015";"4339";"introduce"
"J08-1001";"4340";"present"
"W11-1011";"4341";"use"
"P11-1098";"4342";"approach"
"D11-1075";"4343";"approach"
"W06-3108";"4344";"present"
"P05-1046";"4345";"report"
"J94-2001";"4346";"present"
"W01-1511";"4347";"proposed by"
"J03-1002";"4348";"present"
"P04-1054";"4349";"use"
"P04-1054";"4350";"method"
"W02-1010";"4351";"method"
"P04-1054";"4352";"method"
"W02-1010";"4353";"method"
"P05-1037";"4354";"present"
"W05-1201";"4355";"proposed by"
"N03-1020";"4356";"method"
"N03-1020";"4357";"method"
"P04-1085";"4358";"use"
"W99-0623";"4359";"present"
"P05-1001";"4360";"present"
"W99-0613";"4361";"present"
"W03-0420";"4362";"use"
"J03-4003";"4363";"use"
"W99-0613";"4364";"approach"
"N01-1003";"4365";"present"
"N04-4023";"4366";"report"
"N03-3009";"4367";"report"
"A00-2030";"4368";"method"
"P04-1054";"4369";"method"
"P04-3022";"4370";"method"
"A00-2030";"4371";"method"
"W02-1010";"4372";"method"
"P05-1074";"4373";"use"
"P02-1047";"4374";"present"
"W04-3237";"4375";"use"
"N03-1017";"4376";"method"
"P03-1021";"4377";"method"
"P05-1034";"4378";"approach"
"N03-1032";"4379";"approach"
"A92-1018";"4380";"report"
"P95-1026";"4381";"method"
"W99-0613";"4382";"method"
"P95-1026";"4383";"method"
"P00-1037";"4384";"present"
"E97-1057";"4385";"present"
"J98-2002";"4386";"use"
"W99-0502";"4387";"report"
"J94-3004";"4388";"use"
"J99-1003";"4389";"use"
"W98-1239";"4390";"use"
"W00-0712";"4391";"approach"
"W00-0712";"4392";"approach"
"P04-1039";"4393";"present"
"P06-1104";"4394";"use"
"N15-1133";"4395";"present"
"D13-1137";"4396";"present"
"P05-1044";"4397";"use"
"W08-2102";"4398";"proposed by"
"N15-1080";"4399";"present"
"D10-1001";"4400";"introduce"
"W08-1007";"4401";"method"
"S10-1063";"4402";"present"
"P09-2004";"4403";"introduce"
"P09-1077";"4404";"present"
"D11-1006";"4405";"report"
"P12-1066";"4406";"report"
"P12-1066";"4407";"report"
"P13-1047";"4408";"present"
"N07-1033";"4409";"proposed by"
"P98-1034";"4410";"present"
"P09-1042";"4411";"method"
"D09-1086";"4412";"method"
"P09-1007";"4413";"method"
"P09-1042";"4414";"method"
"D10-1120";"4415";"method"
"P12-1066";"4416";"method"
"P13-1174";"4417";"use"
"J15-4004";"4418";"present"
"P08-1119";"4419";"use"
"D13-1167";"4420";"present"
"D12-1111";"4421";"present"
"P06-1038";"4422";"use"
"P06-1038";"4423";"use"
"P98-2127";"4424";"proposed by"
"E12-1033";"4425";"present"
"D13-1128";"4426";"use"
"W09-0807";"4427";"present"
"P11-1014";"4428";"use"
"P07-1034";"4429";"present"
"W13-3504";"4430";"present"
"P06-1091";"4431";"approach"
"D08-1024";"4432";"approach"
"N13-1114";"4433";"approach"
"P06-1091";"4434";"approach"
"D07-1080";"4435";"approach"
"D14-1181";"4436";"present"
"P11-1137";"4437";"use"
"E14-3004";"4438";"use"
"N12-1005";"4439";"use"
"E12-1004";"4440";"method"
"P12-2011";"4441";"approach"
"N13-2001";"4442";"present"
"W11-1901";"4443";"report"
"W11-1901";"4444";"report"
"W11-1914";"4445";"report"
"W12-4507";"4446";"report"
"D10-1111";"4447";"introduce"
"P13-1020";"4448";"present"
"W09-1802";"4449";"introduce"
"P12-1055";"4450";"present"
"D09-1025";"4451";"approach"
"P08-1090";"4452";"present"
"W13-0112";"4453";"use"
"W02-1029";"4454";"proposed by"
"W02-1029";"4455";"proposed by"
"P98-2127";"4456";"proposed by"
"D10-1119";"4457";"method"
"D11-1140";"4458";"method"
"J09-4006";"4459";"use"
"D10-1077";"4460";"use"
"D11-1090";"4461";"use"
"D10-1077";"4462";"use"
"D11-1090";"4463";"use"
"A00-2004";"4464";"method"
"P06-1004";"4465";"method"
"P94-1050";"4466";"method"
"P01-1064";"4467";"method"
"P98-1065";"4468";"method"
"J97-1003";"4469";"method"
"N04-4026";"4470";"approach"
"N04-4026";"4471";"approach"
"W06-3108";"4472";"approach"
"D08-1069";"4473";"proposed by"
"D12-1115";"4474";"present"
"P11-2049";"4475";"present"
"D08-1075";"4476";"proposed by"
"P13-1146";"4477";"present"
"P02-1047";"4478";"present"
"D08-1068";"4479";"present"
"D11-1014";"4480";"present"
"D08-1013";"4481";"proposed by"
"D08-1035";"4482";"method"
"P03-1071";"4483";"method"
"P06-1079";"4484";"present"
"P09-2022";"4485";"present"
"N06-1023";"4486";"use"
"N06-1023";"4487";"use"
"P09-1059";"4488";"present"
"P09-1059";"4489";"present"
"P12-1025";"4490";"present"
"P12-1025";"4491";"present"
"P11-1004";"4492";"use"
"D07-1091";"4493";"proposed by"
"P07-1017";"4494";"present"
"W13-2234";"4495";"use"
"E06-1002";"4496";"present"
"E06-1002";"4497";"present"
"D12-1024";"4498";"present"
"P11-1019";"4499";"approach"
"W10-2903";"4500";"approach"
"J13-2005";"4501";"approach"
"D12-1093";"4502";"present"
"N13-1008";"4503";"present"
"N10-1131";"4504";"use"
"A00-2024";"4505";"approach"
"P09-1042";"4506";"present"
"P06-1070";"4507";"present"
"J03-4003";"4508";"approach"
"N13-1133";"4509";"proposed by"
"P02-1013";"4510";"approach"
"D10-1101";"4511";"use"
"P10-1050";"4512";"present"
"P13-1012";"4513";"present"
"D08-1031";"4514";"approach"
"P02-1014";"4515";"approach"
"W11-1205";"4516";"proposed by"
"D12-1111";"4517";"present"
"N13-1120";"4518";"present"
"D07-1074";"4519";"proposed by"
"N13-1107";"4520";"method"
"J10-4006";"4521";"use"
"P06-2076";"4522";"report"
"P06-2076";"4523";"method"
"P06-2076";"4524";"method"
"D12-1130";"4525";"introduce"
"D07-1057";"4526";"proposed by"
"D11-1014";"4527";"proposed by"
"P11-1029";"4528";"present"
"D11-1135";"4529";"introduce"
"W02-1001";"4530";"approach"
"P11-1055";"4531";"approach"
"J03-1002";"4532";"present"
"W13-2239";"4533";"use"
"N10-1078";"4534";"present"
"N09-2028";"4535";"use"
"P04-1005";"4536";"use"
"N06-2019";"4537";"use"
"P08-2027";"4538";"use"
"P12-1100";"4539";"present"
"P10-1145";"4540";"present"
"D09-1001";"4541";"present"
"D12-1052";"4542";"present"
"P11-1094";"4543";"present"
"W04-2401";"4544";"proposed by"
"P10-1134";"4545";"present"
"P10-1134";"4546";"approach"
"W12-3206";"4547";"approach"
"P07-1092";"4548";"method"
"P07-1108";"4549";"method"
"N12-2002";"4550";"report"
"D12-1123";"4551";"use"
"J11-1002";"4552";"present"
"W10-1733";"4553";"use"
"P06-1098";"4554";"proposed by"
"D07-1023";"4555";"use"
"D07-1039";"4556";"use"
"P07-1106";"4557";"present"
"P08-1101";"4558";"present"
"P08-1119";"4559";"method"
"E12-1014";"4560";"use"
"P12-1049";"4561";"present"
"D11-1096";"4562";"introduce"
"E12-1012";"4563";"present"
"P01-1023";"4564";"present"
"N12-1093";"4565";"present"
"N12-1093";"4566";"use"
"P13-1044";"4567";"present"
"S07-1025";"4568";"present"
"D12-1062";"4569";"proposed by"
"P09-1046";"4570";"proposed by"
"P12-1092";"4571";"introduce"
"P10-1146";"4572";"use"
"N13-1029";"4573";"present"
"D09-1008";"4574";"present"
"N09-1027";"4575";"use"
"P10-1146";"4576";"use"
"D09-1008";"4577";"use"
"P10-1146";"4578";"use"
"D09-1008";"4579";"use"
"P13-2090";"4580";"proposed by"
"W06-1655";"4581";"use"
"N09-1007";"4582";"use"
"J00-3004";"4583";"use"
"W11-2130";"4584";"present"
"P12-1041";"4585";"use"
"D09-1120";"4586";"use"
"N10-1061";"4587";"use"
"W13-3517";"4588";"use"
"W06-1657";"4589";"use"
"W09-2010";"4590";"method"
"P13-1155";"4591";"use"
"D07-1101";"4592";"proposed by"
"P12-1023";"4593";"present"
"P10-1001";"4594";"use"
"P08-1068";"4595";"use"
"P06-1043";"4596";"present"
"P05-1012";"4597";"proposed by"
"P12-1011";"4598";"report"
"P12-1011";"4599";"introduce"
"W10-2805";"4600";"proposed by"
"D10-1115";"4601";"proposed by"
"W10-2805";"4602";"proposed by"
"P11-1049";"4603";"present"
"P11-1049";"4604";"introduce"
"N10-1131";"4605";"use"
"D13-1156";"4606";"present"
"E06-1038";"4607";"approach"
"W13-3508";"4608";"approach"
"P11-1098";"4609";"use"
"N13-1104";"4610";"use"
"P11-1114";"4611";"use"
"P06-2094";"4612";"present"
"W11-1902";"4613";"approach"
"J01-4004";"4614";"approach"
"P02-1014";"4615";"approach"
"J01-4004";"4616";"approach"
"P09-1065";"4617";"present"
"D11-1084";"4618";"approach"
"W10-1733";"4619";"present"
"W10-2602";"4620";"present"
"D12-1097";"4621";"use"
"E12-1036";"4622";"report"
"D11-1033";"4623";"approach"
"W10-1757";"4624";"present"
"W06-1607";"4625";"method"
"P09-1098";"4626";"proposed by"
"W07-0733";"4627";"use"
"P12-1099";"4628";"use"
"P12-1002";"4629";"approach"
"N12-1054";"4630";"approach"
"W11-0123";"4631";"present"
"D08-1002";"4632";"present"
"N04-1039";"4633";"report"
"J12-1003";"4634";"present"
"N13-1104";"4635";"present"
"P06-1066";"4636";"present"
"P03-1019";"4637";"use"
"P08-1114";"4638";"introduce"
"P08-1068";"4639";"present"
"P08-1108";"4640";"present"
"N06-1055";"4641";"report"
"W08-0303";"4642";"present"
"J93-2003";"4643";"method"
"J09-1005";"4644";"present"
"W07-1106";"4645";"present"
"J09-1005";"4646";"present"
"W07-1106";"4647";"present"
"J09-1005";"4648";"present"
"W05-0634";"4649";"introduce"
"P08-1006";"4650";"use"
"P06-2075";"4651";"introduce"
"W04-1017";"4652";"introduce"
"W04-1017";"4653";"approach"
"W06-1203";"4654";"use"
"P07-1036";"4655";"present"
"P07-1027";"4656";"report"
"P05-1050";"4657";"present"
"P05-1050";"4658";"introduce"
"N06-1020";"4659";"report"
"N04-1019";"4660";"method"
"P08-1081";"4661";"use"
"D07-1101";"4662";"proposed by"
"D07-1025";"4663";"present"
"D07-1036";"4664";"present"
"D08-1090";"4665";"use"
"W93-0310";"4666";"introduce"
"N09-1003";"4667";"use"
"P08-2067";"4668";"use"
"P07-2011";"4669";"use"
"N09-1003";"4670";"use"
"P08-2067";"4671";"use"
"P07-2011";"4672";"use"
"P08-1066";"4673";"introduce"
"P02-1001";"4674";"use"
"P08-1067";"4675";"approach"
"D08-1012";"4676";"method"
"P08-1058";"4677";"use"
"P07-1116";"4678";"use"
"W05-0617";"4679";"use"
"P08-1084";"4680";"use"
"N07-1020";"4681";"use"
"P07-1116";"4682";"use"
"P04-1021";"4683";"proposed by"
"P08-1076";"4684";"approach"
"W05-1619";"4685";"report"
"P98-2127";"4686";"proposed by"
"N06-1007";"4687";"use"
"W03-1011";"4688";"present"
"D07-1031";"4689";"report"
"D08-1092";"4690";"report"
"J03-4003";"4691";"present"
"J05-1003";"4692";"present"
"W99-0623";"4693";"present"
"W99-0623";"4694";"present"
"P99-1016";"4695";"use"
"W04-3234";"4696";"use"
"P06-1046";"4697";"method"
"P08-1119";"4698";"introduce"
"J07-2003";"4699";"introduce"
"P98-1035";"4700";"approach"
"J91-3004";"4701";"approach"
"J01-2004";"4702";"approach"
"J95-2002";"4703";"approach"
"P98-1035";"4704";"approach"
"J91-3004";"4705";"approach"
"J01-2004";"4706";"approach"
"J95-2002";"4707";"approach"
"P98-1035";"4708";"approach"
"J91-3004";"4709";"approach"
"J01-2004";"4710";"approach"
"J95-2002";"4711";"approach"
"P98-1035";"4712";"approach"
"J91-3004";"4713";"approach"
"J01-2004";"4714";"approach"
"J95-2002";"4715";"approach"
"E97-1023";"4716";"present"
"E03-1008";"4717";"report"
"P05-1022";"4718";"approach"
"P08-1067";"4719";"approach"
"P02-1040";"4720";"use"
"J04-4002";"4721";"method"
"J97-3002";"4722";"method"
"P01-1067";"4723";"method"
"D07-1056";"4724";"use"
"J04-4002";"4725";"method"
"J97-3002";"4726";"method"
"P01-1067";"4727";"method"
"P07-1026";"4728";"use"
"D08-1011";"4729";"proposed by"
"P03-1021";"4730";"proposed by"
"N09-2052";"4731";"proposed by"
"D08-1011";"4732";"method"
"P08-1099";"4733";"approach"
"W06-1605";"4734";"method"
"N06-1025";"4735";"method"
"W06-1605";"4736";"present"
"W06-2501";"4737";"present"
"P08-1031";"4738";"present"
"P09-1067";"4739";"present"
"P07-1003";"4740";"use"
"P06-1127";"4741";"present"
"W06-1317";"4742";"use"
"J04-4002";"4743";"method"
"P06-1066";"4744";"proposed by"
"J04-4002";"4745";"method"
"P90-1024";"4746";"proposed by"
"W04-3220";"4747";"present"
"J08-2002";"4748";"present"
"S07-1051";"4749";"use"
"P99-1016";"4750";"use"
"P06-1046";"4751";"method"
"W99-0205";"4752";"present"
"W99-0205";"4753";"present"
"P04-1053";"4754";"method"
"A00-2030";"4755";"method"
"P06-1017";"4756";"method"
"P04-1053";"4757";"method"
"W07-0405";"4758";"proposed by"
"D07-1078";"4759";"use"
"N06-1033";"4760";"method"
"N06-1033";"4761";"method"
"N06-1033";"4762";"method"
"J93-2005";"4763";"use"
"A00-2030";"4764";"method"
"W02-1010";"4765";"method"
"W02-1010";"4766";"present"
"P04-1054";"4767";"method"
"P04-3022";"4768";"method"
"A00-2030";"4769";"method"
"W02-1010";"4770";"method"
"P05-1053";"4771";"method"
"P04-1054";"4772";"method"
"W02-1010";"4773";"method"
"P04-1054";"4774";"method"
"W02-1010";"4775";"method"
"W07-1204";"4776";"use"
"P06-1055";"4777";"introduce"
"P06-1055";"4778";"present"
"E03-1040";"4779";"proposed by"
"E03-1040";"4780";"use"
"P98-2127";"4781";"method"
"W06-1651";"4782";"use"
"P04-1054";"4783";"proposed by"
"D07-1114";"4784";"present"
"J03-4003";"4785";"proposed by"
"P95-1037";"4786";"proposed by"
"J98-4003";"4787";"present"
"W04-3240";"4788";"present"
"N06-1027";"4789";"present"
"W04-3239";"4790";"proposed by"
"W04-3240";"4791";"use"
"N06-1027";"4792";"use"
"D08-1022";"4793";"present"
"N09-2006";"4794";"method"
"P07-1028";"4795";"approach"
"W03-0410";"4796";"report"
"D08-1007";"4797";"approach"
"P07-1028";"4798";"approach"
"D08-1007";"4799";"approach"
"P07-1028";"4800";"approach"
"J95-4002";"4801";"introduce"
"D12-1041";"4802";"approach"
"D07-1053";"4803";"approach"
"P08-1068";"4804";"present"
"P08-1068";"4805";"use"
"P06-1043";"4806";"present"
"D07-1111";"4807";"present"
"D08-1059";"4808";"report"
"E06-1011";"4809";"proposed by"
"P05-1012";"4810";"proposed by"
"D08-1059";"4811";"report"
"D10-1108";"4812";"present"
"D10-1108";"4813";"proposed by"
"P09-1031";"4814";"proposed by"
"P01-1008";"4815";"use"
"P09-1053";"4816";"present"
"W09-3102";"4817";"approach"
"N10-1145";"4818";"introduce"
"W11-1208";"4819";"use"
"W11-1208";"4820";"approach"
"S10-1094";"4821";"use"
"D11-1011";"4822";"present"
"W95-0114";"4823";"use"
"W02-0902";"4824";"use"
"P95-1050";"4825";"present"
"P99-1067";"4826";"method"
"P99-1067";"4827";"method"
"W99-0707";"4828";"approach"
"P05-1046";"4829";"present"
"D11-1144";"4830";"present"
"P05-1074";"4831";"proposed by"
"D08-1021";"4832";"proposed by"
"W11-2504";"4833";"use"
"P10-1117";"4834";"present"
"W06-1642";"4835";"use"
"D08-1089";"4836";"use"
"P06-1098";"4837";"present"
"D10-1010";"4838";"present"
"D10-1010";"4839";"present"
"P08-1082";"4840";"present"
"P10-1015";"4841";"present"
"D10-1121";"4842";"use"
"P11-1035";"4843";"present"
"P10-3007";"4844";"proposed by"
"P10-3007";"4845";"proposed by"
"P02-1014";"4846";"method"
"P03-1016";"4847";"method"
"D10-1019";"4848";"method"
"D09-1014";"4849";"use"
"P06-1032";"4850";"use"
"P11-1094";"4851";"present"
"W11-2843";"4852";"proposed by"
"P07-1024";"4853";"report"
"D09-1101";"4854";"present"
"E99-1010";"4855";"method"
"P89-1018";"4856";"introduce"
"N10-1003";"4857";"proposed by"
"N10-1003";"4858";"method"
"D10-1107";"4859";"use"
"P10-1046";"4860";"present"
"P09-2080";"4861";"approach"
"W06-1651";"4862";"method"
"W10-2910";"4863";"use"
"W06-1651";"4864";"method"
"J12-1002";"4865";"introduce"
"P09-2093";"4866";"use"
"W09-1704";"4867";"use"
"N07-1042";"4868";"present"
"D11-1018";"4869";"present"
"N06-1002";"4870";"present"
"P11-1086";"4871";"present"
"P10-1049";"4872";"use"
"P06-1066";"4873";"proposed by"
"W11-2014";"4874";"use"
"P08-1024";"4875";"use"
"P02-1038";"4876";"use"
"D08-1024";"4877";"present"
"D11-1125";"4878";"present"
"D07-1080";"4879";"present"
"D09-1036";"4880";"report"
"D10-1123";"4881";"proposed by"
"N06-1031";"4882";"present"
"W04-3250";"4883";"proposed by"
"J10-2004";"4884";"present"
"D10-1115";"4885";"proposed by"
"W10-2805";"4886";"proposed by"
"P10-1143";"4887";"present"
"W09-3208";"4888";"present"
"W06-2930";"4889";"proposed by"
