"source";"target";"purpose"
"P11-1079";"352";"approach"
"D09-1101";"353";"approach"
"W99-0611";"354";"approach"
"P07-1107";"355";"approach"
"P11-1079";"356";"approach"
"D09-1101";"357";"approach"
"P10-1134";"358";"introduce"
"P09-1031";"359";"present"
"W06-2920";"360";"use"
"W06-3102";"361";"use"
"P83-1025";"362";"use"
"J81-4001";"363";"proposed by"
"J81-1001";"364";"use"
"P99-1008";"365";"present"
"J90-1003";"366";"method"
"J90-1003";"367";"method"
"J01-1001";"368";"method"
"P95-1026";"369";"present"
"J96-3004";"370";"approach"
"J00-3004";"371";"present"
"J91-1002";"372";"approach"
"P00-1051";"373";"report"
"P98-1046";"374";"proposed by"
"J01-3003";"375";"use"
"J93-2003";"376";"approach"
"J02-2004";"377";"present"
"P03-1027";"378";"use"
"P02-1040";"379";"proposed by"
"J90-1003";"380";"use"
"J88-1004";"381";"report"
"A00-2018";"382";"use"
"W04-3212";"383";"present"
"J02-3001";"384";"present"
"W04-3212";"385";"present"
"W03-2604";"386";"use"
"P05-1020";"387";"present"
"J97-1002";"388";"report"
"E99-1046";"389";"proposed by"
"W05-0625";"390";"use"
"W05-0622";"391";"proposed by"
"J05-1003";"392";"approach"
"P05-1072";"393";"present"
"W04-2421";"394";"present"
"W06-2922";"395";"proposed by"
"P02-1036";"396";"present"
"P03-1046";"397";"present"
"W04-3201";"398";"present"
"W06-1617";"399";"report"
"P87-1014";"400";"use"
"P84-1045";"401";"use"
"J84-1001";"402";"use"
"P84-1063";"403";"use"
"J81-4001";"404";"proposed by"
"J86-3001";"405";"use"
"P88-1015";"406";"present"
"P79-1021";"407";"approach"
"P86-1033";"408";"approach"
"J86-3001";"409";"proposed by"
"J86-3001";"410";"proposed by"
"J93-1002";"411";"use"
"E93-1046";"412";"use"
"P86-1031";"413";"present"
"W98-1421";"414";"use"
"P00-1040";"415";"use"
"E97-1003";"416";"report"
"J02-4006";"417";"report"
"A00-1043";"418";"present"
"A00-1043";"419";"present"
"A00-2024";"420";"present"
"A00-1043";"421";"present"
"A00-2024";"422";"present"
"J97-2002";"423";"report"
"P98-2204";"424";"proposed by"
"J95-4004";"425";"approach"
"J00-3004";"426";"proposed by"
"J93-1002";"427";"method"
"J03-4003";"428";"method"
"P04-1015";"429";"use"
"P07-2055";"430";"present"
"P08-1108";"431";"approach"
"N07-1051";"432";"report"
"N06-2033";"433";"approach"
"P07-1106";"434";"present"
"A00-2018";"435";"method"
"J03-4003";"436";"method"
"D08-1083";"437";"present"
"P10-1043";"438";"use"
"P02-1053";"439";"use"
"P02-1053";"440";"method"
"P09-1027";"441";"use"
"N07-1050";"442";"use"
"E06-1011";"443";"present"
"D08-1059";"444";"present"
"P02-1024";"445";"present"
"J12-4004";"446";"proposed by"
"P08-1034";"447";"present"
"P09-1079";"448";"present"
"P10-1114";"449";"approach"
"D10-1103";"450";"introduce"
"P10-1114";"451";"approach"
"P10-2048";"452";"approach"
"W04-0109";"453";"present"
"P04-1043";"454";"method"
"N07-2038";"455";"present"
"N03-1033";"456";"use"
"P03-1003";"457";"present"
"J92-4003";"458";"use"
"J86-3001";"459";"proposed by"
"J91-4003";"460";"proposed by"
"J90-2002";"461";"use"
"P95-1032";"462";"proposed by"
"P95-1032";"463";"proposed by"
"J81-2002";"464";"use"
"P89-1024";"465";"use"
"P85-1017";"466";"introduce"
"J93-2003";"467";"proposed by"
"J93-2003";"468";"proposed by"
"E97-1032";"469";"report"
"P91-1032";"470";"proposed by"
"P91-1032";"471";"proposed by"
"J90-1003";"472";"use"
"J93-2005";"473";"use"
"J92-4003";"474";"introduce"
"J93-1002";"475";"report"
"J93-1005";"476";"report"
"P92-1017";"477";"report"
"P90-1034";"478";"report"
"J90-2001";"479";"present"
